filename,category,title_en,title_kr,translator,year,source,notes
Blue Cliff Record.pdf,koans,Blue Cliff Record,벽암록,Thomas Cleary,1977,Shambhala Publications,100 cases (50 selected for analysis)
Mumonkan.pdf,koans,Mumonkan (Gateless Gate),무문관,Robert Aitken,1991,North Point Press,48 cases
Diamond Sutra.pdf,sutras,Diamond Sutra,금강경,A.F. Price & Wong Mou-lam,1969,Shambhala Publications,
Heart Sutra.pdf,sutras,Heart Sutra,반야심경,Edward Conze,1958,Buddhist Wisdom Books,
Platform Sutra.pdf,sutras,Platform Sutra of the Sixth Patriarch,육조단경,Philip Yampolsky,1967,Columbia University Press,
Lotus Sutra.pdf,sutras,Lotus Sutra,법화경,BDK (Kubo & Yuyama),2007,Bukkyo Dendo Kyokai,
Lankavatara Sutra.pdf,sutras,Lankavatara Sutra,능가경,D.T. Suzuki,1932,Routledge,
Vimalakirti Sutra.pdf,sutras,Vimalakirti Sutra,유마경,Robert Thurman,1976,Penn State Press,
Avatamsaka Sutra.pdf,sutras,Avatamsaka Sutra (Flower Ornament),화엄경,Thomas Cleary,1993,Shambhala Publications,
Amitabha Sutra.pdf,sutras,Amitabha Sutra,아미타경,BDK,2003,Bukkyo Dendo Kyokai,
Analects.pdf,confucian,Analects of Confucius,논어,James Legge,1893,Chinese Text Project,
Mencius.pdf,confucian,Mencius,맹자,James Legge,1895,Chinese Text Project,
Doctrine of the Mean + Great Learning.pdf,confucian,Doctrine of the Mean + Great Learning,중용 + 대학,James Legge,1893,Chinese Text Project,Combined in one file
Book of Filial Piety.pdf,confucian,Classic of Filial Piety,효경,James Legge,1879,Chinese Text Project,
Gems of Chinese Literature Prose.pdf,prose,Gems of Chinese Literature - Prose,당송 산문,Herbert Giles,1923,Public Domain,Tang-Song prose anthology
